state,action,reward,next_state,done
0,2,0.0,0,False
0,2,0.0,1,False
1,2,0.0,2,False
2,0,0.0,2,False
2,0,0.0,2,False
2,0,0.0,1,False
1,2,0.0,2,False
2,0,0.0,1,False
1,2,0.0,2,False
2,0,0.0,1,False
1,2,0.0,2,False
2,0,0.0,2,False
2,0,0.0,2,False
2,0,0.0,1,False
1,2,0.0,1,False
1,2,0.0,2,False
2,0,0.0,10,False
10,2,0.0,18,False
18,2,0.0,10,False
10,2,0.0,2,False
2,0,0.0,2,False
2,0,0.0,2,False
2,0,0.0,10,False
10,2,0.0,2,False
2,0,0.0,1,False
1,2,0.0,2,False
2,0,0.0,1,False
1,2,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
9,1,0.0,8,False
8,1,0.0,9,False
9,1,0.0,8,False
8,1,0.0,9,False
9,1,0.0,17,False
17,3,0.0,16,False
16,2,0.0,24,False
24,3,0.0,25,False
25,3,0.0,26,False
26,3,0.0,27,False
27,3,0.0,28,False
28,0,0.0,27,False
27,3,0.0,28,False
28,0,0.0,36,False
36,3,0.0,35,True
0,2,0.0,8,False
8,1,0.0,9,False
9,1,0.0,17,False
17,3,0.0,18,False
18,2,0.0,10,False
10,2,0.0,18,False
18,2,0.0,26,False
26,3,0.0,25,False
25,3,0.0,17,False
17,3,0.0,18,False
18,2,0.0,19,True
0,2,0.0,0,False
0,2,0.0,0,False
0,2,0.0,8,False
8,1,0.0,16,False
16,2,0.0,8,False
8,1,0.0,16,False
16,2,0.0,17,False
17,3,0.0,16,False
16,2,0.0,17,False
17,3,0.0,16,False
16,2,0.0,8,False
8,1,0.0,8,False
8,1,0.0,9,False
9,1,0.0,17,False
17,3,0.0,16,False
16,2,0.0,24,False
24,3,0.0,24,False
24,3,0.0,16,False
16,2,0.0,24,False
24,3,0.0,25,False
25,3,0.0,17,False
17,3,0.0,9,False
9,1,0.0,8,False
8,1,0.0,8,False
8,1,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
9,1,0.0,8,False
8,1,0.0,16,False
16,2,0.0,8,False
8,1,0.0,9,False
9,1,0.0,17,False
17,3,0.0,18,False
18,2,0.0,26,False
26,3,0.0,27,False
27,3,0.0,26,False
26,3,0.0,25,False
25,3,0.0,17,False
17,3,0.0,18,False
18,2,0.0,19,True
0,2,0.0,1,False
1,2,0.0,9,False
9,1,0.0,10,False
10,2,0.0,18,False
18,2,0.0,19,True
0,2,0.0,8,False
8,1,0.0,8,False
8,1,0.0,16,False
16,2,0.0,24,False
24,3,0.0,16,False
16,2,0.0,24,False
24,3,0.0,25,False
25,3,0.0,24,False
24,3,0.0,25,False
25,3,0.0,26,False
26,3,0.0,18,False
18,2,0.0,19,True
0,2,0.0,0,False
0,2,0.0,8,False
8,1,0.0,8,False
8,1,0.0,8,False
8,1,0.0,9,False
9,1,0.0,10,False
10,2,0.0,2,False
2,0,0.0,1,False
1,2,0.0,9,False
9,1,0.0,10,False
10,2,0.0,18,False
18,2,0.0,19,True
0,2,0.0,1,False
1,2,0.0,1,False
1,2,0.0,1,False
1,2,0.0,9,False
9,1,0.0,10,False
10,2,0.0,2,False
2,0,0.0,10,False
10,2,0.0,11,False
11,2,0.0,12,False
12,2,0.0,13,False
13,3,0.0,5,False
5,2,0.0,13,False
13,3,0.0,14,False
14,2,0.0,22,False
22,1,0.0,30,False
30,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,23,False
23,2,0.0,23,False
23,2,0.0,23,False
23,2,0.0,23,False
23,2,0.0,31,False
31,2,0.0,23,False
23,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,39,False
39,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,23,False
23,2,0.0,15,False
15,1,0.0,23,False
23,2,0.0,15,False
15,1,0.0,14,False
14,2,0.0,15,False
15,1,0.0,15,False
15,1,0.0,23,False
23,2,0.0,23,False
23,2,0.0,23,False
23,2,0.0,15,False
15,1,0.0,15,False
15,1,0.0,23,False
23,2,0.0,15,False
15,1,0.0,14,False
14,2,0.0,15,False
15,1,0.0,14,False
14,2,0.0,15,False
15,1,0.0,23,False
23,2,0.0,15,False
15,1,0.0,23,False
23,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,47,False
47,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,39,False
39,2,0.0,47,False
47,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,23,False
23,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,39,False
39,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,31,False
31,2,0.0,39,False
39,2,0.0,39,False
39,2,0.0,47,False
47,2,0.0,39,False
39,2,0.0,47,False
47,2,0.0,55,False
55,2,0.0,55,False
55,2,0.0,47,False
47,2,0.0,47,False
47,2,0.0,55,False
55,2,0.0,47,False
47,2,0.0,47,False
47,2,0.0,39,False
39,2,0.0,31,False
31,2,0.0,23,False
23,2,0.0,23,False
23,2,0.0,15,False
15,1,0.0,14,False
14,2,0.0,6,False
6,1,0.0,5,False
5,2,0.0,6,True
0,2,0.0,0,False
0,2,0.0,0,False
0,2,0.0,8,False
8,1,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
9,1,0.0,17,False
17,3,0.0,16,False
16,2,0.0,8,False
8,1,0.0,8,False
8,1,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
9,1,0.0,17,False
17,3,0.0,9,False
