state,action,reward,next_state,done
194,3,-1,174,False
174,0,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
169,0,-1,269,False
269,3,-1,249,False
249,3,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,2,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
293,3,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
108,2,-1,128,False
128,0,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
413,1,-1,313,False
313,1,-1,213,False
213,2,-1,233,False
233,2,-1,253,False
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
364,1,-1,264,False
264,1,-1,164,False
164,2,-1,184,False
184,1,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,3,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
326,1,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
264,1,-1,164,False
164,2,-1,184,False
184,1,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,3,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
131,0,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
88,2,-1,88,False
